name,Vimeo Connection to Map,Reference ID,Strategy Categories,Strategy Name,Lacrosse Lab Link (JSONB Array),description (Combined),Paste Embed Code in This Column (JSONB Array)
"Cheddar and Pepper Jack Man Up Plays OFfense","45","45","Man Up","Quick Hitters","[""https://lacrosse.labradorsports.com/play?l=Fb4O8I8vSCYPnmGYmkou"",""https://lacrosse.labradorsports.com/play?l=9MshLpBG5qPbJFXdU1FC"",""https://lacrosse.labradorsports.com/play?l=DfpkqbWaW5vfOZf8MOJ7"",""https://lacrosse.labradorsports.com/play?l=1qi2Fw6Zd3b1WHL00jwI""]","Man play | A man up motion that contributed a lot of goals for us this season.  
RP = Righty Passer
LP = Lefty Passer 
IF = Inside Finisher
LS = Lefty Shooter
RS = Righty Shooter
SP = Shooter/Passer","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Fb4O8I8vSCYPnmGYmkou\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=9MshLpBG5qPbJFXdU1FC\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=DfpkqbWaW5vfOZf8MOJ7\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=1qi2Fw6Zd3b1WHL00jwI\"" style=\""max-width: 100%\""></iframe>""]"
"Circle Dodging","46","46","","Circle Dodging","[]","","[]"
"Clear Pass Terminology","47","47","Clearing","Clearing Terminology","[""https://lacrosse.labradorsports.com/play?l=UA3OsOXjZsudAEH8KKr5""]","Clear vs Ride Base","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=UA3OsOXjZsudAEH8KKr5\"" style=\""max-width: 100%\""></iframe>""]"
"Clear Passing","48","48","","Clear Passing","[]","","[]"
"Coaches vs Refs","49","49","","Coaches vs Refs","[]","","[]"
"Conshu Set Play","50","50","Offense - Set Plays","Conshu Set Play","[""https://lacrosse.labradorsports.com/play?l=UMSA6AydfhwS0GkkQzZY""]","Conshu is a set play based on clearing a skip lane to the backside by bringing the usual defender into a 2 man scenario with the ball carrier.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=UMSA6AydfhwS0GkkQzZY\"" style=\""max-width: 100%\""></iframe>""]"
"Crease Slide Basics","51","51","Defense","Crease Slide Package","[]","","[]"
"Cuse Motion Offense","52","52","Offense","#REF!","[""https://lacrosse.labradorsports.com/play?l=gOgB4zf2ZMpVHuiF6J8w"",""https://lacrosse.labradorsports.com/play?l=0Wd1yivtwRHTQhIDwoDW"",""https://lacrosse.labradorsports.com/play?l=AWbweqOYPces1BuyTL6y"",""https://lacrosse.labradorsports.com/play?l=liLq69y3KNixoFh9Cf5U"",""https://lacrosse.labradorsports.com/play?l=z63nGk2lFpI3QU22hVlY"",""https://lacrosse.labradorsports.com/play?l=8czW8l5gY97TeBH87gzJ"",""https://lacrosse.labradorsports.com/play?l=EwMMgcmNXJk1ni0tfmuq"",""https://lacrosse.labradorsports.com/play?l=gBQwvFRagThuMUKx2lCL"",""https://lacrosse.labradorsports.com/play?l=MrRjHNZiM52ZWnAXqjU2"",""https://lacrosse.labradorsports.com/play?l=yJne3AO73xIZqkzSKH0K"",""https://lacrosse.labradorsports.com/play?l=qdjIZwPycnTNvSdvgFRG"",""https://lacrosse.labradorsports.com/play?l=nq1NfvjWNLY6MANMVBjw""]","This is the Cuse Motion Offense | This is the Cuse Motion Offense with a pick behind after the first pass.

The attack men want to switch sides so they can work to their strong hands in the two-man game. | This is the Cuse Motion Offense - The backside player will cut the middle. | This is the Cuse Motion Offense - The top crease player will mirror the dodge. | This is the Cuse Motion Offense - The dodger has the option to go over the top or down the alley. All other players will react to this dodge. | This is the Cuse Motion Offense - The near side low player will fade to x playing hang up games while the backside player cuts the middle. | This is the Cuse Motion Offense - The near side low player will clear through to the crease and the backside player will fill to x for the forward outlet. | This is the Cuse Motion Offense - The top center player will fade and prepare to dodge of the ball swings.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=gOgB4zf2ZMpVHuiF6J8w\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0Wd1yivtwRHTQhIDwoDW\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=AWbweqOYPces1BuyTL6y\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=liLq69y3KNixoFh9Cf5U\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=z63nGk2lFpI3QU22hVlY\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=8czW8l5gY97TeBH87gzJ\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=EwMMgcmNXJk1ni0tfmuq\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=gBQwvFRagThuMUKx2lCL\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MrRjHNZiM52ZWnAXqjU2\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=yJne3AO73xIZqkzSKH0K\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qdjIZwPycnTNvSdvgFRG\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=nq1NfvjWNLY6MANMVBjw\"" style=\""max-width: 100%\""></iframe>""]"
"Cuse Motion Offense vs Zone Defense","53","53","Offense","#REF!","[""https://lacrosse.labradorsports.com/play?l=0Ulreo5iO4jZTYtKAz7T"",""https://lacrosse.labradorsports.com/play?l=dL8Xv4SnhCFZvlM2laxO""]","This is the Cuse Motion Offense vs a 3-3 zone.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0Ulreo5iO4jZTYtKAz7T\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=dL8Xv4SnhCFZvlM2laxO\"" style=\""max-width: 100%\""></iframe>""]"
"Defending 2 Man games","54","54","Defense","Defending 2 Man Games","[""https://lacrosse.labradorsports.com/play?l=XqyN1vWQ2oEioljtvWyF"",""https://lacrosse.labradorsports.com/play?l=KxcHSI3HGjbvtidIHhJt"",""https://lacrosse.labradorsports.com/play?l=wDP3Ebj7CjRh6FCeHWi9"",""https://lacrosse.labradorsports.com/play?l=MkGCbqZG1K3y66t889m2""]","An overview of the methodology of defending a shallow cut.
1) Just play defense - 
2) Slide and Rotate - | An overview of how to double picks behind the goal and pull the goalie to cover the 2nd player.
1) Double the Pick
2) Pull the Goalie to cover the other player. | Defending the 1-4-1 set is a difficult task because the 4 perimeter players create long distances for sliding and recovering.

In this example -  we will outline how we would like to slide to a wing pick that works.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=XqyN1vWQ2oEioljtvWyF\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=KxcHSI3HGjbvtidIHhJt\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=wDP3Ebj7CjRh6FCeHWi9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MkGCbqZG1K3y66t889m2\"" style=\""max-width: 100%\""></iframe>""]"
"Defending Hang Ups at X","55","55","Defense","Defending Hang Ups at X","[]","","[]"
"Denver Endline Play","56","56","Offense - Set Plays","Denver Skeleton","[""https://lacrosse.labradorsports.com/play?l=eV09v1lWeWMz3R6Z50an"",""https://lacrosse.labradorsports.com/play?l=LPDjKqcotI0j5Jtiw5dP"",""https://lacrosse.labradorsports.com/play?l=H43YlOn818dsyAKQjuPB""]","Denver Endline Play","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=eV09v1lWeWMz3R6Z50an\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=LPDjKqcotI0j5Jtiw5dP\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=H43YlOn818dsyAKQjuPB\"" style=\""max-width: 100%\""></iframe>""]"
"Dodge - Clear Through - Follow","57","57","","Dodge - Clear Through - Follow","[]","","[]"
"Regular Midfield Motion (21-12)","58","58","","Regular Midfield Motion (21-12)","[]","","[]"
"Doubling Picks","59","59","Defense","Doubling Picks","[]","","[]"
"Duke’s Fade and Follow Offense vs Zone Defense","60","60","Zone Offense","3-3 Zone Gaps and Soft Spots","[""https://lacrosse.labradorsports.com/play?l=7iqPmOxzaPma8MT2x0s9"",""https://lacrosse.labradorsports.com/play?l=GVwNeoqmrvUhLFE7CyhK"",""https://lacrosse.labradorsports.com/play?l=lTzsEu6Pp2xzZ94I4nbg"",""https://lacrosse.labradorsports.com/play?l=I9u2hz1ploOkCt4oO97g""]","This is a play in the 1-4–1 carry step off offense. | This play works well because it systematizes the gaps in the defensive zone.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7iqPmOxzaPma8MT2x0s9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=GVwNeoqmrvUhLFE7CyhK\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=lTzsEu6Pp2xzZ94I4nbg\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=I9u2hz1ploOkCt4oO97g\"" style=\""max-width: 100%\""></iframe>""]"
"Duke Motion","61","61","Offense","Duke Motion","[]","","[]"
"Duke Scrapping Drill","62","62","","Duke Scrapping Drill","[]","","[]"
"Duke Drill","63","63","","Duke Drill","[]","","[]"
"Duke Fade and Follow Offense","64","64","Offense","Duke Fade and Follow","[""https://lacrosse.labradorsports.com/play?l=M25CffvlBE6KQ06vD2AW"",""https://lacrosse.labradorsports.com/play?l=Ft3ipv7lDxt1ECsgH5Az"",""https://lacrosse.labradorsports.com/play?l=ZfQyAOQPdIrJmPo8n3AZ"",""https://lacrosse.labradorsports.com/play?l=S4cIr1AmF8nRUq9kXqmt"",""https://lacrosse.labradorsports.com/play?l=mXblHOPfyLmN84CDxauZ"",""https://lacrosse.labradorsports.com/play?l=irCze742ApRRLeHTkGb9"",""https://lacrosse.labradorsports.com/play?l=dFjwkswcqpso4w00ruRF"",""https://lacrosse.labradorsports.com/play?l=bFyEY3DxYDMvs5KSOXAp""]","A play you can use vs a zone with shorty top center and on the crease. | If the crease Slides when you’re attacking the Middle -  feed the crease. | If the crease Slides when you’re attacking the Middle and the 2 slide is there -  Skip it to the corners. | If the adjacent player slides -  Draw and Dump on the wing. | The Duke Fade and Follow Offense attacks the middle using rollbacks -  great spacing and a Weave.

If the dodger is unable to turn the corners or find looks after 3 roll backs -  he should pass Down Pick Down with either Wing. | The Duke Fade and Follow Offense attacks the middle using rollbacks -  great spacing and a Weave.

Players should turn the corner dodging room Top Center. | The Duke Fade and Follow Offense attacks the middle using rollbacks -  great spacing and a Weave.

If the dodger takes the Alley -  it sets up the Attackman to come off a big little pick from up top. | The Duke Fade and Follow Offense attacks the middle using rollbacks -  great spacing and a Weave.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=M25CffvlBE6KQ06vD2AW\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Ft3ipv7lDxt1ECsgH5Az\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ZfQyAOQPdIrJmPo8n3AZ\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=S4cIr1AmF8nRUq9kXqmt\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=mXblHOPfyLmN84CDxauZ\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=irCze742ApRRLeHTkGb9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=dFjwkswcqpso4w00ruRF\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=bFyEY3DxYDMvs5KSOXAp\"" style=\""max-width: 100%\""></iframe>""]"
"Duke's Hybrid Man Down","65","65","Man Down","Duke's Hybrid Man Down","[]","","[]"
"East West Dodging in Lacrosse","66","66","","East West Dodging in Lacrosse","[]","","[]"
"2 Man Game","67","67","","2 Man Game","[]","","[]"
"Faceoff Plays and Tactics","68","68","Face Offs","FO - Black (Pull Side Wing)","[""https://lacrosse.labradorsports.com/play?l=tiMa6oG7800HJ0rJvval"",""https://lacrosse.labradorsports.com/play?l=uWHb7ozxXYhBDrbxmh1I"",""https://lacrosse.labradorsports.com/play?l=MuhicsiywDnf1tkrCzVv"",""https://lacrosse.labradorsports.com/play?l=JewtMg1EglomGWhw8D1Y"",""https://lacrosse.labradorsports.com/play?l=wBTiITJbu1Ncq3eLbH1U""]","During face offs -  players must expect the ball.  Once the ball is picked up -  they must connect and get the ball to the offensive end.

The Black call should be expected if the pull side wing player lines up uncontested in the defensive end. | During face offs -  players must expect the ball. Once the ball is picked up -  they must connect and get the ball to the offensive end.  Some face off specialists and LSM’s have a tendency of running off the field once the ball is picked up which can lead to Easy Doubles. | During face offs -  players must expect the ball.  Once the ball is picked up -  they must connect and get the ball to the offensive end.

If the defensive team lines up “Hip to Hip” on both sides -  the FO specialist will have to pull it to himself where he has space.  The basic idea is that the more space he has in any spot -  the better.  However -  he can pull it to himself wherever he feels he will have the best opportunity to get the ball.

Pull Front Left - If the pull side wing is line up in the defensive end.

Pull Back Left - If the pull side wing is lined up in the offensive end.

Pull Back Right - If the off side wing is line up in the offensive end. | During face offs -  players must expect the ball.  Once the ball is picked up -  they must connect and get the ball to the offensive end.

If the defensive team lines up “Hip to Hip” on both sides -  the FO specialist will have to pull it to himself where he has space. If the opposing team puts a long pole on the face off -  the face of specialist can pull it backwards pick it up and then pass back to the goalie who will set up the clear. | During face offs -  players must expect the ball.  Once the ball is picked up -  they must connect and get the ball to the offensive end.

The White call should be expected if the pull side wing player lines up contested and the off side wing is uncontested in the defensive end.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tiMa6oG7800HJ0rJvval\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=uWHb7ozxXYhBDrbxmh1I\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MuhicsiywDnf1tkrCzVv\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=JewtMg1EglomGWhw8D1Y\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=wBTiITJbu1Ncq3eLbH1U\"" style=\""max-width: 100%\""></iframe>""]"
"Full Field Build Up Drill","69","69","","Full Field Build Up Drill","[]","","[]"
"Attacking Gaps and Softspots vs Zone Defense","70","70","","Attacking Gaps and Softspots vs Zone Defense","[]","","[]"
"General Drill (Recovery 1v1's)","71","71","","General Drill (Recovery 1v1's)","[]","","[]"
"1v1 Ground Balls to Give and Go","72","72","","1v1 Ground Balls to Give and Go","[]","","[]"
"Hands Free Dodges","73","73","","Hands Free Dodges","[]","","[]"
"Head Man Passing Drill","74","74","","Head Man Passing Drill","[]","","[]"
"House Zone Man Down Defense","75","75","Man Down","House Zone","[""https://lacrosse.labradorsports.com/play?l=kk1DnxZPSGOfX0Sd8Zbl"",""https://lacrosse.labradorsports.com/play?l=nFRdDFmcTdgQWGAgyBCn"",""https://lacrosse.labradorsports.com/play?l=fXng8swzZjN7KZK0fJRP"",""https://lacrosse.labradorsports.com/play?l=vfTdxUKtkVoKTcAO6J14""]","Stay on the pipes and communicate who backside players have on the crease. | The pipe players should stay on the pipes and help on the crease if they can top 3 should do their best to cover the 4 up top. | Players must be ready to account for the Player at X when he comes above the goal. | The key are the skips from top Center to low corners.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=kk1DnxZPSGOfX0Sd8Zbl\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=nFRdDFmcTdgQWGAgyBCn\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=fXng8swzZjN7KZK0fJRP\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=vfTdxUKtkVoKTcAO6J14\"" style=\""max-width: 100%\""></iframe>""]"
"How to Beat Zone Defense","76","76","","How to Beat Zone Defense","[]","","[]"
"How to Cradle in Lacrosse","77","77","","How to Cradle in Lacrosse","[]","","[]"
"How to Do Hidden Ball Tricks","78","78","","How to Do Hidden Ball Tricks","[]","","[]"
"How to Hold the Stick in Lacrosse","79","79","","How to Hold the Stick in Lacrosse","[]","","[]"
"Using and Defending Box Picks","80","80","","Using and Defending Box Picks","[]","","[]"
"I Passing Drill","81","81","","I Passing Drill","[]","","[]"
"10 Man Ride","82","82","Riding","10 Man Ride","[""https://lacrosse.labradorsports.com/play?l=MA4KYHrD0ljXcilWfuXy"",""https://lacrosse.labradorsports.com/play?l=mGNeYgNq7wbEuUBh3v3f"",""https://lacrosse.labradorsports.com/play?l=3MVmxxCPw7qZbiXPkUbw"",""https://lacrosse.labradorsports.com/play?l=Sv9VxjkK3vZBVzrSGzbG"",""https://lacrosse.labradorsports.com/play?l=A0b6YHplRGT7UG0oaq2U""]","To create the time it takes to get into the 1 Man Ride -  we must get in the face Of the first ball carrier so they can’t get up and out Early.  Once the ball is passed adjacent -  we can press up to cause turnovers. | We will create turnovers in the second level by doubling with our attackmen and midfielders. | If a player carries over the midline while in a double we must stay on that double and not let them free their hands. Think of it in the same way we would be doubling at the end of the game to get the ball back. | To get into the 10 Man Ride -  the goalie will bump up a succession of players to the field. | If all of the clearing players are in front of the midline -  we have to get a midfielder back before the pole can go over. When this happens we will have to alternate which side of the field has a midfielder back in order to press up to the defenseman.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MA4KYHrD0ljXcilWfuXy\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=mGNeYgNq7wbEuUBh3v3f\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=3MVmxxCPw7qZbiXPkUbw\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Sv9VxjkK3vZBVzrSGzbG\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=A0b6YHplRGT7UG0oaq2U\"" style=\""max-width: 100%\""></iframe>""]"
"Introducing Box Picks with 2v0's 2v1's and 2v2's","83","83","","Introducing Box Picks with 2v0's 2v1's and 2v2's","[]","","[]"
"Island 1v1's","84","84","","Island 1v1's","[]","","[]"
"Jumping The Ball Man Down Defense","85","85","Man Down","Jumping The Ball Man Down Defense","[]","","[]"
"Lacrosse Goalie Play","86","86","","Lacrosse Goalie Play","[]","","[]"
"Line Bump Drill (Slide and Recover)","87","87","","Line Bump Drill (Slide and Recover)","[]","","[]"
"Making Line Drills More Effective","88","88","","Making Line Drills More Effective","[]","","[]"
"Mammoth Shooting Drill","89","89","","Mammoth Shooting Drill","[]","","[]"
"Man Down Clear","90","90","Clearing","Man Down Clear","[]","","[]"
"Man Down Face Off","91","91","Face Off","Man Down Face Off","[]","","[]"
"Trick Man Down Clear","92","92","Man Down","Trick Man Down Clear","[]","","[]"
"Man Down Restart Trick Plays","93","93","Man Down","Restart Trick Plays","[""https://lacrosse.labradorsports.com/play?l=7zK7m4bajZCDRNNmDLQ5"",""https://lacrosse.labradorsports.com/play?l=wQrEnDCczdZuPowb6CWR"",""https://lacrosse.labradorsports.com/play?l=g2ksCbXndxVwFygFw76I"",""https://lacrosse.labradorsports.com/play?l=JbER0dqOHzv2ryvj0J0t"",""https://lacrosse.labradorsports.com/play?l=OiLHc6dq9RVRQbUBbT3R""]","Easily get out of doubles and clear the ball during restarts while man down using these simple steps! | The Ladder Clear puts both midfielders on the off box side and tries to move the ball up the ladder.

Teams will clear up the off box side with their midfielders to keep the opposing riding midfielders on the field.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7zK7m4bajZCDRNNmDLQ5\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=wQrEnDCczdZuPowb6CWR\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=g2ksCbXndxVwFygFw76I\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=JbER0dqOHzv2ryvj0J0t\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=OiLHc6dq9RVRQbUBbT3R\"" style=\""max-width: 100%\""></iframe>""]"
"Dodges for Attackmen","94","94","","Dodges for Attackmen","[]","","[]"
"My Favorite Dodges for Attackmen","95","95","","My Favorite Dodges for Attackmen","[]","","[]"
"Dodges for Midfielders","96","96","","Dodges for Midfielders","[]","","[]"
"Wind Up Dodging in Lacrosse","97","97","","Wind Up Dodging in Lacrosse","[]","","[]"
"Near Man Defense","98","98","Defense","Adjacent Slide Package","[""https://lacrosse.labradorsports.com/play?l=qH35YqpWvK78raLGrztN"",""https://lacrosse.labradorsports.com/play?l=cuVnOGWsQBjMW1JMTJfl"",""https://lacrosse.labradorsports.com/play?l=lU1l7evmgX4GXLnbbXZk"",""https://lacrosse.labradorsports.com/play?l=bldKPdyu6MgdMBoKlSEy"",""https://lacrosse.labradorsports.com/play?l=oiZgCVqH6dZNQZHn6syC"",""https://lacrosse.labradorsports.com/play?l=wbF15sy2Pr8GQMOilnV9"",""https://lacrosse.labradorsports.com/play?l=watGv5buZ3GN5kg8U23z"",""https://lacrosse.labradorsports.com/play?l=sj1J0oB7ze3vrGrM20Z1"",""https://lacrosse.labradorsports.com/play?l=mLNEX26RAfsbeLdFELNb"",""https://lacrosse.labradorsports.com/play?l=0x24f93jd3wwTJG518VC""]","Adjacent Slide and Recover | The players communicate their responsibilities as the ball is passed around the field. | Near Man Slide and Recovery - If a defensive player comes between the crease slide and the ball carrier -  they are now the slide and the crease must pick up that man. | Crease Slide and Recovery Example | A CoMa Slide is a slide to a dodge from X where the slide COMes Across the goal from the other side. | The best time to double is right as an offensive player turns their head away from you. | The best time to double is when the office of Player turns their head away from you.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=qH35YqpWvK78raLGrztN\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=cuVnOGWsQBjMW1JMTJfl\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=lU1l7evmgX4GXLnbbXZk\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=bldKPdyu6MgdMBoKlSEy\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=oiZgCVqH6dZNQZHn6syC\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=wbF15sy2Pr8GQMOilnV9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=watGv5buZ3GN5kg8U23z\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=sj1J0oB7ze3vrGrM20Z1\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=mLNEX26RAfsbeLdFELNb\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0x24f93jd3wwTJG518VC\"" style=\""max-width: 100%\""></iframe>""]"
"North-South Dodging Footwork","99","99","","North-South Dodging Footwork","[]","","[]"
"What are North South Dodges?","100","100","","What are North South Dodges?","[]","","[]"
"North South Dodges","101","101","","North South Dodges","[]","","[]"
"Ohio State Pairs Offense in 5 Minutes","102","102","","Ohio State Pairs Offense in 5 Minutes","[]","","[]"
