,,,,This column denotes where the drills will take place.   Please add a section for “Location of Drills:” to the practice description and list the names of each location.,These columns denote which equipment a player will need to do the training that day.  Please add a section for “Equipment Needed:” into the practice description and list the names of what is needed. ,,,,,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Attack 8,Attack 9,Attack 10,Attack 11,Attack 12,Midfield 12,Midfield 11,Midfield 10,Midfield 9,Midfield 8,Midfield 7,Midfield 6,Midfield 5,Midfield 4,Midfield 3,Midfield 2,Midfield 1,,,,,,,,Defense 1,Defense 2,Defense 3,Defense 4,Defense 5,Defense 6,Defense 7,Defense 8,Defense 9,Defense 10,Defense 11,Defense 12
Individual Defense,4 Cone - Infinity Drop Step and Run Drill,https://vimeo.com/1003776447,<p>4 Cone - Infinity Drop Step and Run Drill</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,6,,,,"<iframe src=""https://player.vimeo.com/video/1003776447"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 3,S,F,F,,,,,,,,,,,,
Individual Defense,4 Cone - Infinity Drop Step and Shuffle Drill,https://vimeo.com/1003776350,<p>4 Cone - Infinity Drop Step and Shuffle Drill</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,4,,,,"<iframe src=""https://player.vimeo.com/video/1003776350"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 2,S,F,F,,,,,,,,,,,,
Individual Defense,4 Cone - Side Shuffle Drill,https://vimeo.com/1003776290,<p>4 Cone - Side Shuffle Drill</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,3,,,,"<iframe src=""https://player.vimeo.com/video/1003776290"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 1,S,F,F,,,,,,,,,,,,
Individual Defense,4 Cone Footwork - Circle The Cone Shuffle,https://vimeo.com/1010346954,<p>4 Cone Footwork - Circle The Cone Shuffle</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010346954"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,,F,F,F,,,,,,,,,,,,
Individual Defense,4 Cone Footwork - Circle The Cone Sideways Run,https://vimeo.com/1010347044,<p>4 Cone Footwork - Circle The Cone Sideways Run</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347044"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Back Left,https://vimeo.com/1002923082,<p>Approach and Recover Clockwise - Back Left</p><br>,Back Right,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002923082"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Back Right,https://vimeo.com/1002921894,<p>Approach and Recover Clockwise - Back Right</p><br>,Back Right,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002921894"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Side Left,https://vimeo.com/1002922861,<p>Approach and Recover Clockwise - Side Left</p><br>,Side Left,,,X,,,,,,,,,,,,,,,,,,,,,,,14,,,,"<iframe src=""https://player.vimeo.com/video/1002922861"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Side Right,https://vimeo.com/1002922120,<p>Approach and Recover Clockwise - Side Right</p><br>,Side Right,,,X,,,,,,,,,,,,,,,6,,,,,,,,12,,,,"<iframe src=""https://player.vimeo.com/video/1002922120"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Top Center,https://vimeo.com/1002922522,<p>Approach and Recover Clockwise - Top Center</p><br>,Top Center,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922522"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Top Left,https://vimeo.com/1002922752,<p>Approach and Recover Clockwise - Top Left</p><br>,Top Left,,,X,,,,,,,,,,,,,,,,,,,9,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922752"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Clockwise - Top Right,https://vimeo.com/1002922420,<p>Approach and Recover Clockwise - Top Right</p><br>,Top Right,,,X,,,,,,,,,,,,,,,7,,,,8,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922420"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Back Left,https://vimeo.com/1002922983,<p>Approach and Recover Counter Clockwise - Back Left</p><br>,Back Right,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922983"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Back Right,https://vimeo.com/1002921781,<p>Approach and Recover Counter Clockwise - Back Right</p><br>,Back Right,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002921781"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Side Left,https://vimeo.com/1002921672,<p>Approach and Recover Counter Clockwise - Side Left</p><br>,Side Left,,,X,,,,,,,,,,,,,,,,,,,,,,,15,,,,"<iframe src=""https://player.vimeo.com/video/1002921672"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Side Right,https://vimeo.com/1002922008,<p>Approach and Recover Counter Clockwise - Side Right</p><br>,Side Right,,,X,,,,,,,,,,,,,,,,,,,,,,,13,,,,"<iframe src=""https://player.vimeo.com/video/1002922008"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Top Center,https://vimeo.com/1002922628,<p>Approach and Recover Counter Clockwise - Top Center</p><br>,Top Center,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922628"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Top Left,https://vimeo.com/1002933308,<p>Approach and Recover Counter Clockwise - Top Left</p><br>,Top Left,,,X,,,,,,,,,,,,,,,,,,,11,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002933308"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Approach and Recover Counter Clockwise - Top Right,https://vimeo.com/1002922298,<p>Approach and Recover Counter Clockwise - Top Right</p><br>,Top Right,,,X,,,,,,,,,,,,,,,,,,,10,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002922298"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense,Defending at X - Run The Rails,https://vimeo.com/1003776061,<p>Defending at X - Run The Rails</p><br>,Around the Goal,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003776061"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 1,S,F,A,,,,,,,,,,,,
Individual Defense,Defending at X - Through X Roll Back Drill,https://vimeo.com/1003777493,<p>Defending at X - Through X Roll Back Drill</p><br>,Around the Goal,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003777493"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 3,S,F,A,,,,,,,,,,,,
Individual Defense,Defending at X - Through X Run The Rails,https://vimeo.com/1003776175,<p>Defending at X - Through X Run The Rails</p><br>,Around the Goal,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003776175"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 2,S,F,A,,,,,,,,,,,,
Individual Defense,Ladder Drill - Icky Shuffle,https://vimeo.com/1003776640,<p>Ladder Drill - Icky Shuffle</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,6,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003776640"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,"Dill 3
",F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Left Foot In and Out,https://vimeo.com/1003777328,<p>Ladder Drill - Left Foot In and Out</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003777328"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - One Foot In Each,https://vimeo.com/1003777403,<p>Ladder Drill - One Foot In Each</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,3,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003777403"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Right Foot In and Out,https://vimeo.com/1003775861,<p>Ladder Drill - Right Foot In and Out</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003775861"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Sideways In and Out - Left,https://vimeo.com/1003777224,<p>Ladder Drill - Sideways In and Out - Left</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003777224"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Sideways In and Out - Right,https://vimeo.com/1003777139,<p>Ladder Drill - Sideways In and Out - Right</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003777139"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,"Drill 4
",F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Two Feet In Each - Left First,https://vimeo.com/1003775538,<p>Ladder Drill - Two Feet In Each - Left First</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,5,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003775538"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Two Feet in Each - Right First,https://vimeo.com/1003776763,<p>Ladder Drill - Two Feet in Each - Right First</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,4,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003776763"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,F,F,,,,,,,,,,,,
Individual Defense,Ladder Drill - Two In Two Out,https://vimeo.com/1003776857,<p>Ladder Drill - Two In Two Out</p><br>,Ladder Setup,X,X,,,X,,,,,,,,,,,,,,,,,7,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1003776857"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - Approach and Backpedal,https://vimeo.com/1002923252,<p>Pipe Approaches - Approach and Backpedal</p><br>,Front of the Goal,,X,X,,,,,,,,,,,,,,,1,,,,,,,,7,,,,"<iframe src=""https://player.vimeo.com/video/1002923252"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 1,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - C Approach and Shuffle,https://vimeo.com/1002923331,<p>Pipe Approaches - C Approach and Shuffle</p><br>,Front of the Goal,,X,X,,,,,,,,,,,,,,,2,,,,,,,,8,,,,"<iframe src=""https://player.vimeo.com/video/1002923331"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 2,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - C Approach and Shuffle Drop Step,https://vimeo.com/1002923401,<p>Pipe Approaches - C Approach and Shuffle Drop Step</p><br>,Front of the Goal,,X,X,,,,,,,,,,,,,,,5,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002923401"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 3,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - C Approach Turn and Run,https://vimeo.com/1002923573,<p>Pipe Approaches - C Approach Turn and Run</p><br>,Front of the Goal,,X,X,,,,,,,,,,,,,,,3,,,,,,,,9,,,,"<iframe src=""https://player.vimeo.com/video/1002923573"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 4,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - C Approach Turn and Run Drop Step,https://vimeo.com/1002923710,<p>Pipe Approaches - C Approach Turn and Run Drop Step</p><br>,Front of the Goal,,X,X,,,,,,,,,,,,,,,4,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1002923710"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,Drill 5,F,F,F,,,,,,,,,,,,
Individual Defense,Pipe Approaches - Left Foot Forward Retreat Steps,https://vimeo.com/1010346541,<p>Pipe Approaches - Left Foot Forward Retreat Steps</p><br>,Front of Goal,,,X,,,,,,,,,,,,,,,,,,,,,,,10,,,,"<iframe src=""https://player.vimeo.com/video/1010346541"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,,,,,,,,,,,,,
Individual Defense,Pipe Approaches - Right Foot Forward Retreat Steps,https://vimeo.com/1010346448,<p>Pipe Approaches - Right Foot Forward Retreat Steps</p><br>,Front of Goal,,,X,,,,,,,,,,,,,,,,,,,,,,,11,,,,"<iframe src=""https://player.vimeo.com/video/1010346448"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,,,,,,,,,,,,,
Individual Defense,Skeleton Defending at X Drill,https://vimeo.com/1010348273,<p>Skeleton Defending at X Drill</p><br>,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010348273"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,,,,,,,,,,,,,,,
Individual Defense - Checking,Pipe Approaches - Slap Check Drill,https://vimeo.com/1006973050,<p>Pipe Approaches - Slap Check Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006973050"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,,,,,,,,,,,,,
Individual Defense - Checking ,Ding Dong Check on the Goal Drill,https://vimeo.com/1006973273,<p>Ding Dong Check on the Goal Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006973273"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,Infinity Down Checking and Footwork Drill,https://vimeo.com/1006972761,<p>Infinity Down Checking and Footwork Drill</p><br>,Anywhere,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972761"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,Infinity Up Checking and Footwork Drill,https://vimeo.com/1006972662,<p>Infinity Up Checking and Footwork Drill</p><br>,Anywhere,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972662"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,M Checking and Footwork Drill,https://vimeo.com/1006972399,<p>M Checking and Footwork Drill</p><br>,Anywhere,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972399"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,V-Hold Wrap Check on a Goal Drill,https://vimeo.com/1006973004,<p>V-Hold Wrap Check on a Goal Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006973004"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,V-Hold Wrap Check the Roll on the Goal Drill,https://vimeo.com/1010352013,<p>V-Hold Wrap Check the Roll on the Goal Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010352013"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,W Checking and Footwork Drill,https://vimeo.com/1006972513,<p>W Checking and Footwork Drill</p><br>,Anywhere,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972513"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,Wrap Check on a Goal Drill,https://vimeo.com/1006973110,<p>Wrap Check on a Goal Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006973110"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Checking ,Wrap Check the Roll on the Goal Drill,https://vimeo.com/1010347474,<p>Wrap Check the Roll on the Goal Drill</p><br>,Front of Goal,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347474"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,N/A,F,F,,,,,,,,,,,,
Individual Defense - Fast Break Rotations,Fast Break Defense - Cross Crease Rotation Drill,https://vimeo.com/1007665438,<p>Fast Break Defense - Cross Crease Rotation Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,12,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007665438"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Fast Break Rotations,Fast Break Defense - Get Down The Back Pipe Rotation Drill,https://vimeo.com/1010346853,<p>Fast Break Defense - Get Down The Back Pipe Rotation Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,14,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010346853"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Fast Break Rotations,Fast Break Defense - Point Slide Drill,https://vimeo.com/1007661944,<p>Fast Break Defense - Point Slide Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,11,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007661944"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Fast Break Rotations,Fast Break Defense - Up The Hash Rotation Drill,https://vimeo.com/1007665531,<p>Fast Break Defense - Up The Hash Rotation Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,13,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007665531"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Slide and Recovery Drills,Crease Slide Drill - Left Alley Dodge,https://vimeo.com/1010346621,<p>Crease Slide Drill - Left Alley Dodge</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,10,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010346621"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,S,F,F,,,,,,,,,,,,
Individual Defense - Slide and Recovery Drills,On Ball Defense to Recover Drill,https://vimeo.com/1010390853,<p>On Ball Defense to Recover Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,8,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010390853"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Slide and Recovery Drills,Right Alley Crease Slide Drill,https://vimeo.com/1010346738,<p>Right Alley Crease Slide Drill</p><br>,Defensive Zone,,,X,,,,,,,,,,,,,,,9,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010346738"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,N/A,,F,F,F,,,,,,,,,,,,
Individual Defense - Stick Skills,Off Hand Wide Turn Ground Ball to Long Pass Drill,https://vimeo.com/1006972877,<p>Off Hand Wide Turn Ground Ball to Long Pass Drill</p><br>,Across Defensive Field,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972877"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,,F,F,F,,,,,,,,,,,,
Individual Defense - Stick Skills,Strong Hand Wide Turn Ground Ball to Long Pass Drill,https://vimeo.com/1006972934,<p>Strong Hand Wide Turn Ground Ball to Long Pass Drill</p><br>,Across Defensive Field,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1006972934"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,,F,F,F,,,,,,,,,,,,
Inside Finishing,High Crease - Back Pipe Cut Catch and Finish Drill,https://vimeo.com/1005105413,<p>High Crease - Back Pipe Cut Catch and Finish Drill</p><br>,On the Crease,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,15,,,"<iframe src=""https://player.vimeo.com/video/1005105413"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,F,,,,,,,,,,,,
Inside Finishing,High Crease - Ball Cut Catch and Finish Drill,https://vimeo.com/1005105345,<p>High Crease - Ball Cut Catch and Finish Drill</p><br>,On the Crease,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,14,,,"<iframe src=""https://player.vimeo.com/video/1005105345"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,F,,,,,,,,,,,,
Inside Finishing,High Crease - Clear Through Cut Catch and Finish Drill,https://vimeo.com/1005105345,<p>High Crease - Clear Through Cut Catch and Finish Drill</p><br>,On the Crease,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,13,,,"<iframe src=""https://player.vimeo.com/video/1005105345"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Inside Finishing,Low Crease - Up Field Cut Catch and Finish Drill,https://vimeo.com/1005105297,<p>Low Crease - Up Field Cut Catch and Finish Drill</p><br>,On the Crease,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,17,,,"<iframe src=""https://player.vimeo.com/video/1005105297"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,F,,,,,,,,,,,,
